time,q_0,q_1,q_2,q_3,q_4,q_5,tcp_0,tcp_1,tcp_2,extra__pc_ts
1.0,-4.67308182,-1.49395223,1.06240493,3.67422931,4.6887517,0.64538968,0.15157026,-0.492102451,0.838421976,1.0
1.0,-4.67825669,-1.49375789,1.06155712,3.66998784,4.69122696,0.64536953,0.14925405,-0.492415415,0.839178679,1.0
1.0,-4.68338842,-1.49365726,1.06075603,3.66571776,4.69356394,0.64541054,0.146944621,-0.492653814,0.839961317,1.0
1.0,-4.68845696,-1.49355937,1.06002123,3.66147391,4.69591427,0.64540195,0.144669481,-0.492886384,0.840709532,1.0
1.0,-4.69341034,-1.49346968,1.05920631,3.65754621,4.69816113,0.6454258,0.142442053,-0.493091766,0.84146295,1.0
1.0,-4.69814855,-1.49339129,1.05841619,3.65375297,4.70055485,0.64540195,0.140336916,-0.493265008,0.842194061,1.0
1.0,-4.7029925,-1.49325354,1.05765468,3.65002219,4.70274448,0.64540529,0.138161282,-0.493494584,0.842874165,1.0
1.0,-4.70758766,-1.49316946,1.05699665,3.64643495,4.70484781,0.64538479,0.136100947,-0.493681554,0.843516122,1.0
1.0,-4.71215767,-1.49308223,1.05626899,3.64272801,4.70690823,0.64537686,0.134050017,-0.493827243,0.844199662,1.0
1.0,-4.71677739,-1.49300717,1.05562288,3.6391093,4.70892096,0.64538121,0.131971194,-0.493989533,0.84484061,1.0
1.0,-4.72118181,-1.49286626,1.05488569,3.63548009,4.71097612,0.6454258,0.130004103,-0.494133245,0.845490392,1.0
1.0,-4.72542161,-1.49274923,1.05425436,3.63188712,4.71291637,0.6453371,0.128108114,-0.4942602,0.846097846,1.0
1.0,-4.72970277,-1.49271909,1.05358774,3.6284167,4.71487093,0.64536953,0.126195363,-0.494325931,0.846749893,1.0
1.0,-4.73384721,-1.4925604,1.05298073,3.62511651,4.71666384,0.64533287,0.124333218,-0.494484642,0.847292165,1.0
1.0,-4.73787767,-1.49251358,1.05236465,3.62202184,4.718575,0.6454258,0.122541557,-0.494561454,0.847870906,1.0
1.0,-4.74187202,-1.49239358,1.05182201,3.61891191,4.72041559,0.64538544,0.120760164,-0.494693489,0.848380367,1.0
1.0,-4.74579436,-1.49233782,1.05119211,3.61583297,4.72220421,0.64539772,0.119012341,-0.494744741,0.84895688,1.0
1.0,-4.74958319,-1.49226587,1.0506633,3.61279933,4.72398043,0.64536095,0.117329274,-0.494814551,0.849473288,1.0
1.0,-4.75324661,-1.49222227,1.05012828,3.60977332,4.7257247,0.64540625,0.115707184,-0.494842108,0.850004427,1.0
1.0,-4.75687784,-1.49207258,1.04955084,3.60683362,4.72740841,0.64537686,0.114093182,-0.494929047,0.850493007,1.0
1.0,-4.76035709,-1.49204995,1.04900724,3.60391109,4.72905827,0.6453405,0.112555793,-0.494915309,0.851025429,1.0
2.0,-4.76383382,-1.4919912,1.04853231,3.60102622,4.73065281,0.64532858,0.111013255,-0.494941615,0.851503943,2.0
2.0,-4.76719278,-1.49189825,1.04806406,3.59833257,4.73219299,0.64534479,0.109522303,-0.494992801,0.851942389,2.0
2.0,-4.77039546,-1.4918173,1.04761345,3.59568421,4.73367929,0.64539337,0.108104273,-0.495022132,0.852373177,2.0
2.0,-4.77356118,-1.49181847,1.047108,3.59321754,4.735147,0.64538908,0.106706899,-0.494988976,0.852849831,2.0
2.0,-4.77665013,-1.49167955,1.04668552,3.59096066,4.7365241,0.6453653,0.105330694,-0.495081858,0.853198718,2.0
2.0,-4.77955944,-1.49166572,1.04630071,3.58860509,4.73791981,0.64538121,0.104051735,-0.495065464,0.853600599,2.0
2.0,-4.7824604,-1.49166243,1.04579813,3.58631246,4.73919249,0.64538544,0.102767977,-0.495010908,0.854054022,2.0
2.0,-4.78531665,-1.49154885,1.04541141,3.58412568,4.74045658,0.64538121,0.101498024,-0.495065251,0.854390005,2.0
2.0,-4.78799803,-1.49153033,1.0449918,3.58199422,4.7416749,0.64536095,0.100315951,-0.49502889,0.85478103,2.0
2.0,-4.79061372,-1.49144952,1.04460365,3.57980554,4.74284172,0.64533287,0.09915867,-0.495027908,0.855132522,2.0
2.0,-4.79315263,-1.49142236,1.04422456,3.57778279,4.74399376,0.64538908,0.098040074,-0.494997909,0.855489024,2.0
2.0,-4.79559607,-1.49134481,1.04387695,3.57580058,4.74506712,0.64539772,0.096957772,-0.49500242,0.855802311,2.0
2.0,-4.79791099,-1.49134577,1.0435198,3.57386462,4.74613857,0.64536536,0.095944009,-0.494939433,0.85615293,2.0
2.0,-4.80018443,-1.49127384,1.04322225,3.57196919,4.74718475,0.64537686,0.094942853,-0.494940252,0.856436804,2.0
2.0,-4.80233986,-1.49120826,1.04286939,3.57012956,4.74818325,0.64541817,0.093997111,-0.494913476,0.856742815,2.0
2.0,-4.80440742,-1.49126311,1.04257471,3.5684921,4.74915409,0.64540529,0.093097039,-0.494828913,0.857060837,2.0
2.0,-4.80645198,-1.49116139,1.04227001,3.566878,4.75009441,0.64541042,0.092195792,-0.494847965,0.857304879,2.0
2.0,-4.80835325,-1.49120315,1.04197342,3.56534259,4.75094509,0.64539337,0.091365554,-0.494762242,0.857606789,2.0
2.0,-4.81019038,-1.49109829,1.04173834,3.56386249,4.75178766,0.64536536,0.090554657,-0.49479265,0.857804381,2.0
2.0,-4.81192703,-1.49106975,1.0415209,3.56251781,4.75264359,0.6454019,0.089798438,-0.494778236,0.858017596,2.0
2.0,-4.81358129,-1.4910678,1.04124672,3.56121413,4.75338554,0.64539337,0.089075017,-0.494724726,0.858265038,2.0
2.0,-4.81516272,-1.49101862,1.04102785,3.56004111,4.75410032,0.64540631,0.088378983,-0.494724328,0.858451993,2.0
2.0,-4.81662769,-1.49092574,1.040788,3.55889575,4.75477123,0.64541721,0.087733542,-0.49473965,0.858624432,2.0
2.0,-4.81801612,-1.49089741,1.04064542,3.55780141,4.75543833,0.64538974,0.087127176,-0.494734169,0.858779289,2.0
2.0,-4.81927663,-1.4908777,1.0404132,3.55677573,4.75596857,0.64541399,0.086573175,-0.494692522,0.858971911,2.0
2.0,-4.82045395,-1.49082849,1.04020483,3.5558707,4.75650787,0.64539337,0.086057139,-0.494682282,0.859127884,2.0
2.0,-4.82158679,-1.49084171,1.04004604,3.55493562,4.75701857,0.64538908,0.085564099,-0.494634513,0.859294495,2.0
